"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","52histoires2021.ademe.fr/217.70.184.56","443","INFO","HTTP","",""
"pre_128cipher","52histoires2021.ademe.fr/217.70.184.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","52histoires2021.ademe.fr/217.70.184.56","443","OK","not offered","",""
"SSLv3","52histoires2021.ademe.fr/217.70.184.56","443","OK","not offered","",""
"TLS1","52histoires2021.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_1","52histoires2021.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_2","52histoires2021.ademe.fr/217.70.184.56","443","OK","offered","",""
"TLS1_3","52histoires2021.ademe.fr/217.70.184.56","443","OK","offered with final","",""
"ALPN","52histoires2021.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_NULL","52histoires2021.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","52histoires2021.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","52histoires2021.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","52histoires2021.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","52histoires2021.ademe.fr/217.70.184.56","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","52histoires2021.ademe.fr/217.70.184.56","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","52histoires2021.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_STRONG_FS","52histoires2021.ademe.fr/217.70.184.56","443","OK","offered","",""
"cipher_order-tls1_2","52histoires2021.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","52histoires2021.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","52histoires2021.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","52histoires2021.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","52histoires2021.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","52histoires2021.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","52histoires2021.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"FS","52histoires2021.ademe.fr/217.70.184.56","443","OK","offered","",""
"FS_ciphers","52histoires2021.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","52histoires2021.ademe.fr/217.70.184.56","443","OK","prime256v1","",""
"TLS_extensions","52histoires2021.ademe.fr/217.70.184.56","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","52histoires2021.ademe.fr/217.70.184.56","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","52histoires2021.ademe.fr/217.70.184.56","443","INFO","yes","",""
"sessionresumption_ticket","52histoires2021.ademe.fr/217.70.184.56","443","INFO","supported","",""
"sessionresumption_ID","52histoires2021.ademe.fr/217.70.184.56","443","INFO","not supported","",""
"TLS_timestamp","52histoires2021.ademe.fr/217.70.184.56","443","INFO","random","",""
"certificate_compression","52histoires2021.ademe.fr/217.70.184.56","443","INFO","none","",""
"clientAuth","52histoires2021.ademe.fr/217.70.184.56","443","INFO","none","",""
"cert_numbers","52histoires2021.ademe.fr/217.70.184.56","443","INFO","1","",""
"cert_signatureAlgorithm","52histoires2021.ademe.fr/217.70.184.56","443","OK","SHA384 with RSA","",""
"cert_keySize","52histoires2021.ademe.fr/217.70.184.56","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","52histoires2021.ademe.fr/217.70.184.56","443","INFO","Digital Signature","",""
"cert_extKeyUsage","52histoires2021.ademe.fr/217.70.184.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","52histoires2021.ademe.fr/217.70.184.56","443","INFO","9D36B09B7373303712D2AF58184E920F","",""
"cert_serialNumberLen","52histoires2021.ademe.fr/217.70.184.56","443","INFO","16","",""
"cert_fingerprintSHA1","52histoires2021.ademe.fr/217.70.184.56","443","INFO","40AB8277BB6C7359693388B8E7D0190B05A95BEF","",""
"cert_fingerprintSHA256","52histoires2021.ademe.fr/217.70.184.56","443","INFO","654CCC387B73BC5B215BF5DF7A6E2E1C053CE64529F0147BBAC944CD2A7D9916","",""
