"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","HTTP","",""
"pre_128cipher","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","not offered","",""
"SSLv3","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","not offered","",""
"TLS1","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","LOW","offered (deprecated)","",""
"TLS1_1","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","LOW","offered (deprecated)","",""
"TLS1_2","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","offered","",""
"TLS1_3","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","not offered","",""
"cipherlist_NULL","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","offered","",""
"cipherlist_STRONG_FS","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","offered","",""
"cipher_order-tls1","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","server","",""
"cipherorder_TLSv1","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","server","",""
"cipherorder_TLSv1_1","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","server","",""
"cipherorder_TLSv1_2","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","server","",""
"FS","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","offered","",""
"FS_ciphers","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","prime256v1","",""
"TLS_extensions","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'next protocol/#13172'","",""
"TLS_session_ticket","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","yes","",""
"sessionresumption_ticket","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","supported","",""
"sessionresumption_ID","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","supported","",""
"TLS_timestamp","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","random","",""
"cert_compression","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","N/A","",""
"clientAuth","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","none","",""
"cert_numbers","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","1","",""
"cert_signatureAlgorithm","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","SHA256 with RSA","",""
"cert_keySize","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","04DA3E63DC0F89252AFD2718C27FFB0BBC60","",""
"cert_serialNumberLen","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","18","",""
"cert_fingerprintSHA1","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","B4786BE21D0CBFC7A862ADF0348AA56494F5E5E5","",""
"cert_fingerprintSHA256","www.adaptation-changement-climatique.gouv.fr/192.93.225.50","443","INFO","81030ADB009E04BAF88200A434C52D298AAD276BD0C8D07194D399A35DDEA1ED","",""
