"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","HTTP","",""
"pre_128cipher","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","No 128 cipher limit bug","",""
"SSLv2","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","not offered","",""
"SSLv3","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","not offered","",""
"TLS1","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","not offered","",""
"TLS1_1","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","not offered","",""
"TLS1_2","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","offered","",""
"TLS1_3","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","offered with final","",""
"ALPN","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","http/1.1","",""
"cipherlist_NULL","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","not offered","","CWE-327"
"cipherlist_LOW","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","not offered","",""
"cipherlist_STRONG_FS","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","offered","",""
"cipher_order-tls1_2","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","server","",""
"cipherorder_TLSv1_2","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","server","",""
"FS","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","offered","",""
"FS_ciphers","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","yes","",""
"sessionresumption_ticket","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","not supported","",""
"sessionresumption_ID","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","supported","",""
"TLS_timestamp","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","random","",""
"certificate_compression","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","none","",""
"clientAuth","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","none","",""
"cert_numbers","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","1","",""
"cert_signatureAlgorithm","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","SHA384 with RSA","",""
"cert_keySize","agenda-avenirs.onisep.fr/195.83.117.42","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","B120DDA06F098C8283DB6379F1019850","",""
"cert_serialNumberLen","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","16","",""
"cert_fingerprintSHA1","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","4ED9D63117DB85F546068D551755D30827D1205B","",""
"cert_fingerprintSHA256","agenda-avenirs.onisep.fr/195.83.117.42","443","INFO","D145819F36C50554E0C39E1FC499F23DE096733A3F49B3D78D50D74EFEFFFB61","",""
