"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","anah.gouv.fr/31.193.53.253","443","INFO","HTTP","",""
"pre_128cipher","anah.gouv.fr/31.193.53.253","443","INFO","No 128 cipher limit bug","",""
"SSLv2","anah.gouv.fr/31.193.53.253","443","OK","not offered","",""
"SSLv3","anah.gouv.fr/31.193.53.253","443","OK","not offered","",""
"TLS1","anah.gouv.fr/31.193.53.253","443","INFO","not offered","",""
"TLS1_1","anah.gouv.fr/31.193.53.253","443","INFO","not offered","",""
"TLS1_2","anah.gouv.fr/31.193.53.253","443","OK","offered","",""
"TLS1_3","anah.gouv.fr/31.193.53.253","443","OK","offered with final","",""
"ALPN_HTTP2","anah.gouv.fr/31.193.53.253","443","OK","h2","",""
"ALPN","anah.gouv.fr/31.193.53.253","443","INFO","http/1.1","",""
"cipherlist_NULL","anah.gouv.fr/31.193.53.253","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","anah.gouv.fr/31.193.53.253","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","anah.gouv.fr/31.193.53.253","443","OK","not offered","","CWE-327"
"cipherlist_LOW","anah.gouv.fr/31.193.53.253","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","anah.gouv.fr/31.193.53.253","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","anah.gouv.fr/31.193.53.253","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","anah.gouv.fr/31.193.53.253","443","OK","offered","",""
"cipherlist_STRONG_FS","anah.gouv.fr/31.193.53.253","443","OK","offered","",""
"cipher_order-tls1_2","anah.gouv.fr/31.193.53.253","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","anah.gouv.fr/31.193.53.253","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9f","anah.gouv.fr/31.193.53.253","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x6b","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x39","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9d","anah.gouv.fr/31.193.53.253","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x3d","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x35","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02f","anah.gouv.fr/31.193.53.253","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc013","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9e","anah.gouv.fr/31.193.53.253","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x67","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x33","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9c","anah.gouv.fr/31.193.53.253","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x3c","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x2f","anah.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","anah.gouv.fr/31.193.53.253","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA AES256-GCM-SHA384 AES256-SHA256 AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA AES128-GCM-SHA256 AES128-SHA256 AES128-SHA","",""
"cipher_order","anah.gouv.fr/31.193.53.253","443","INFO","NOT a cipher order configured","",""
"FS","anah.gouv.fr/31.193.53.253","443","OK","offered","",""
"FS_ciphers","anah.gouv.fr/31.193.53.253","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","anah.gouv.fr/31.193.53.253","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","anah.gouv.fr/31.193.53.253","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","anah.gouv.fr/31.193.53.253","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","anah.gouv.fr/31.193.53.253","443","INFO","yes","",""
"sessionresumption_ticket","anah.gouv.fr/31.193.53.253","443","INFO","not supported","",""
"sessionresumption_ID","anah.gouv.fr/31.193.53.253","443","INFO","supported","",""
"TLS_timestamp","anah.gouv.fr/31.193.53.253","443","INFO","random","",""
"certificate_compression","anah.gouv.fr/31.193.53.253","443","INFO","none","",""
"clientAuth","anah.gouv.fr/31.193.53.253","443","INFO","none","",""
"cert_numbers","anah.gouv.fr/31.193.53.253","443","INFO","1","",""
"cert_signatureAlgorithm","anah.gouv.fr/31.193.53.253","443","OK","SHA256 with RSA","",""
"cert_keySize","anah.gouv.fr/31.193.53.253","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","anah.gouv.fr/31.193.53.253","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","anah.gouv.fr/31.193.53.253","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","anah.gouv.fr/31.193.53.253","443","INFO","A5960B2ABB6B985E06991A86A71BDFED","",""
